       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 40.875745   0.143400   0.177800        101     140233  61.018353  64.361253  63.744801   0.000000         20 
 40.915885   0.143400   0.178200        101     140234  61.018353  64.361253  63.744801   0.000000         20 
 40.955880   0.143400   0.178600        101     140235  61.018353  64.361253  63.744801   0.000000         20 
 40.995716   0.143400   0.179000        101     140236  61.018353  64.361253  63.744801   0.000000         20 
 41.035378   0.143400   0.179400        101     140237  61.018353  64.361253  63.744801   0.000000         20 
 41.074853   0.143400   0.179800        101     140238  61.018353  64.361253  63.744801   0.000000         20 
 41.114126   0.143400   0.180200        101     140239  61.018353  64.361253  63.744801   0.000000         20 
 41.153181   0.143400   0.180600        101     140240  61.018353  64.361253  63.744801   0.000000         20 
 41.192004   0.143400   0.181000        101     140241  61.018353  64.361253  63.744801   0.000000         20 
 41.230579   0.143400   0.181400        101     140242  61.018353  64.361253  63.744801   0.000000         20 
 41.268890   0.143400   0.181800        101     140243  61.018353  64.361253  63.744801   0.000000         20 
 41.306921   0.143400   0.182200        101     140244  61.018353  64.361253  63.744801   0.000000         20 
 41.344656   0.143400   0.182600        101     140245  61.018353  64.361253  63.744801   0.000000         20 
 41.382079   0.143400   0.183000        101     140246  61.018353  64.361253  63.744801   0.000000         20 
 41.419173   0.143400   0.183400        101     140247  61.018353  64.361253  63.744801   0.000000         20 
 41.455920   0.143400   0.183800        101     140248  61.018353  64.361253  63.744801   0.000000         20 
 41.492305   0.143400   0.184200        101     140249  61.018353  64.361253  63.744801   0.000000         20 
 41.528309   0.143400   0.184600        101     140250  61.018353  64.361253  63.744801   0.000000         20 
 41.563915   0.143400   0.185000        101     140251  61.018353  64.361253  63.744801   0.000000         20 
 40.492769   0.143500   0.173700        101     140252  60.970797  64.387948  63.771641   0.000000         20 
 40.533721   0.143500   0.174100        101     140253  60.970797  64.387948  63.771641   0.000000         20 
 40.574651   0.143500   0.174500        101     140254  60.970797  64.387948  63.771641   0.000000         20 
 40.615548   0.143500   0.174900        101     140255  60.970797  64.387948  63.771641   0.000000         20 
 40.656401   0.143500   0.175300        101     140256  60.970797  64.387948  63.771641   0.000000         20 
 40.697198   0.143500   0.175700        101     140257  60.970797  64.387948  63.771641   0.000000         20 
 40.737927   0.143500   0.176100        101     140258  60.970797  64.387948  63.771641   0.000000         20 
 40.778575   0.143500   0.176500        101     140259  60.970797  64.387948  63.771641   0.000000         20 
 40.819132   0.143500   0.176900        101     140260  60.970797  64.387948  63.771641   0.000000         20 
 40.859583   0.143500   0.177300        101     140261  60.970797  64.387948  63.771641   0.000000         20 
 40.899915   0.143500   0.177700        101     140262  60.970797  64.387948  63.771641   0.000000         20 
 40.940116   0.143500   0.178100        101     140263  60.970797  64.387948  63.771641   0.000000         20 
 40.980171   0.143500   0.178500        101     140264  60.970797  64.387948  63.771641   0.000000         20 
 41.020066   0.143500   0.178900        101     140265  60.970797  64.387948  63.771641   0.000000         20 
 41.059788   0.143500   0.179300        101     140266  60.970797  64.387948  63.771641   0.000000         20 
 41.099322   0.143500   0.179700        101     140267  60.970797  64.387948  63.771641   0.000000         20 
 41.138653   0.143500   0.180100        101     140268  60.970797  64.387948  63.771641   0.000000         20 
 41.177766   0.143500   0.180500        101     140269  60.970797  64.387948  63.771641   0.000000         20 
 41.216646   0.143500   0.180900        101     140270  60.970797  64.387948  63.771641   0.000000         20 
 41.255277   0.143500   0.181300        101     140271  60.970797  64.387948  63.771641   0.000000         20 
 41.293643   0.143500   0.181700        101     140272  60.970797  64.387948  63.771641   0.000000         20 
 41.331728   0.143500   0.182100        101     140273  60.970797  64.387948  63.771641   0.000000         20 
 41.369516   0.143500   0.182500        101     140274  60.970797  64.387948  63.771641   0.000000         20 
 41.406991   0.143500   0.182900        101     140275  60.970797  64.387948  63.771641   0.000000         20 
 41.444135   0.143500   0.183300        101     140276  60.970797  64.387948  63.771641   0.000000         20 
 41.480931   0.143500   0.183700        101     140277  60.970797  64.387948  63.771641   0.000000         20 
 41.517363   0.143500   0.184100        101     140278  60.970797  64.387948  63.771641   0.000000         20 
 41.553412   0.143500   0.184500        101     140279  60.970797  64.387948  63.771641   0.000000         20 
 41.589062   0.143500   0.184900        101     140280  60.970797  64.387948  63.771641   0.000000         20 
 41.624294   0.143500   0.185300        101     140281  60.970797  64.387948  63.771641   0.000000         20 
 40.516337   0.143600   0.173600        101     140282  60.923330  64.414589  63.798397   0.000000         20 
 40.557349   0.143600   0.174000        101     140283  60.923330  64.414589  63.798397   0.000000         20 
 40.598339   0.143600   0.174400        101     140284  60.923330  64.414589  63.798397   0.000000         20 
 40.639296   0.143600   0.174800        101     140285  60.923330  64.414589  63.798397   0.000000         20 
 40.680210   0.143600   0.175200        101     140286  60.923330  64.414589  63.798397   0.000000         20 
 40.721067   0.143600   0.175600        101     140287  60.923330  64.414589  63.798397   0.000000         20 
 40.761857   0.143600   0.176000        101     140288  60.923330  64.414589  63.798397   0.000000         20 
 40.802567   0.143600   0.176400        101     140289  60.923330  64.414589  63.798397   0.000000         20 
 40.843184   0.143600   0.176800        101     140290  60.923330  64.414589  63.798397   0.000000         20 
 40.883696   0.143600   0.177200        101     140291  60.923330  64.414589  63.798397   0.000000         20 
 40.924090   0.143600   0.177600        101     140292  60.923330  64.414589  63.798397   0.000000         20 
 40.964351   0.143600   0.178000        101     140293  60.923330  64.414589  63.798397   0.000000         20 
 41.004466   0.143600   0.178400        101     140294  60.923330  64.414589  63.798397   0.000000         20 
 41.044422   0.143600   0.178800        101     140295  60.923330  64.414589  63.798397   0.000000         20 
 41.084204   0.143600   0.179200        101     140296  60.923330  64.414589  63.798397   0.000000         20 
 41.123797   0.143600   0.179600        101     140297  60.923330  64.414589  63.798397   0.000000         20 
 41.163187   0.143600   0.180000        101     140298  60.923330  64.414589  63.798397   0.000000         20 
 41.202358   0.143600   0.180400        101     140299  60.923330  64.414589  63.798397   0.000000         20 
